car,buying,maint,doors,persons,lug_boot,safety,car_acceptabillity
c1,vhigh,vhigh,2,2,small,low,unacc
c2,vhigh,vhigh,2,2,small,med,unacc
c3,vhigh,vhigh,2,2,small,high,unacc
c4,vhigh,vhigh,2,2,med,low,unacc
c5,vhigh,vhigh,2,2,med,med,unacc
c6,vhigh,vhigh,2,2,med,high,unacc
c7,vhigh,vhigh,2,2,big,low,unacc
c8,vhigh,vhigh,2,2,big,med,unacc
c9,vhigh,vhigh,2,2,big,high,unacc
c10,vhigh,vhigh,2,4,small,low,unacc
c11,vhigh,vhigh,2,4,small,med,unacc
c12,vhigh,vhigh,2,4,small,high,unacc
c13,vhigh,vhigh,2,4,med,low,unacc
c14,vhigh,vhigh,2,4,med,med,unacc
c15,vhigh,vhigh,2,4,med,high,unacc
c16,vhigh,vhigh,2,4,big,low,unacc
c17,vhigh,vhigh,2,4,big,med,unacc
c18,vhigh,vhigh,2,4,big,high,unacc
c19,vhigh,vhigh,2,more,small,low,unacc
c20,vhigh,vhigh,2,more,small,med,unacc
c21,vhigh,vhigh,2,more,small,high,unacc
c22,vhigh,vhigh,2,more,med,low,unacc
c23,vhigh,vhigh,2,more,med,med,unacc
c24,vhigh,vhigh,2,more,med,high,unacc
c25,vhigh,vhigh,2,more,big,low,unacc
c26,vhigh,vhigh,2,more,big,med,unacc
c27,vhigh,vhigh,2,more,big,high,unacc
c28,vhigh,vhigh,3,2,small,low,unacc
c29,vhigh,vhigh,3,2,small,med,unacc
c30,vhigh,vhigh,3,2,small,high,unacc
c31,vhigh,vhigh,3,2,med,low,unacc
c32,vhigh,vhigh,3,2,med,med,unacc
c33,vhigh,vhigh,3,2,med,high,unacc
c34,vhigh,vhigh,3,2,big,low,unacc
c35,vhigh,vhigh,3,2,big,med,unacc
c36,vhigh,vhigh,3,2,big,high,unacc
c37,vhigh,vhigh,3,4,small,low,unacc
c38,vhigh,vhigh,3,4,small,med,unacc
c39,vhigh,vhigh,3,4,small,high,unacc
c40,vhigh,vhigh,3,4,med,low,unacc
c41,vhigh,vhigh,3,4,med,med,unacc
c42,vhigh,vhigh,3,4,med,high,unacc
c43,vhigh,vhigh,3,4,big,low,unacc
c44,vhigh,vhigh,3,4,big,med,unacc
c45,vhigh,vhigh,3,4,big,high,unacc
c46,vhigh,vhigh,3,more,small,low,unacc
c47,vhigh,vhigh,3,more,small,med,unacc
c48,vhigh,vhigh,3,more,small,high,unacc
c49,vhigh,vhigh,3,more,med,low,unacc
c50,vhigh,vhigh,3,more,med,med,unacc
c51,vhigh,vhigh,3,more,med,high,unacc
c52,vhigh,vhigh,3,more,big,low,unacc
c53,vhigh,vhigh,3,more,big,med,unacc
c54,vhigh,vhigh,3,more,big,high,unacc
c55,vhigh,vhigh,4,2,small,low,unacc
c56,vhigh,vhigh,4,2,small,med,unacc
c57,vhigh,vhigh,4,2,small,high,unacc
c58,vhigh,vhigh,4,2,med,low,unacc
c59,vhigh,vhigh,4,2,med,med,unacc
c60,vhigh,vhigh,4,2,med,high,unacc
c61,vhigh,vhigh,4,2,big,low,unacc
c62,vhigh,vhigh,4,2,big,med,unacc
c63,vhigh,vhigh,4,2,big,high,unacc
c64,vhigh,vhigh,4,4,small,low,unacc
c65,vhigh,vhigh,4,4,small,med,unacc
c66,vhigh,vhigh,4,4,small,high,unacc
c67,vhigh,vhigh,4,4,med,low,unacc
c68,vhigh,vhigh,4,4,med,med,unacc
c69,vhigh,vhigh,4,4,med,high,unacc
c70,vhigh,vhigh,4,4,big,low,unacc
c71,vhigh,vhigh,4,4,big,med,unacc
c72,vhigh,vhigh,4,4,big,high,unacc
c73,vhigh,vhigh,4,more,small,low,unacc
c74,vhigh,vhigh,4,more,small,med,unacc
c75,vhigh,vhigh,4,more,small,high,unacc
c76,vhigh,vhigh,4,more,med,low,unacc
c77,vhigh,vhigh,4,more,med,med,unacc
c78,vhigh,vhigh,4,more,med,high,unacc
c79,vhigh,vhigh,4,more,big,low,unacc
c80,vhigh,vhigh,4,more,big,med,unacc
c81,vhigh,vhigh,4,more,big,high,unacc
c82,vhigh,vhigh,5more,2,small,low,unacc
c83,vhigh,vhigh,5more,2,small,med,unacc
c84,vhigh,vhigh,5more,2,small,high,unacc
c85,vhigh,vhigh,5more,2,med,low,unacc
c86,vhigh,vhigh,5more,2,med,med,unacc
c87,vhigh,vhigh,5more,2,med,high,unacc
c88,vhigh,vhigh,5more,2,big,low,unacc
c89,vhigh,vhigh,5more,2,big,med,unacc
c90,vhigh,vhigh,5more,2,big,high,unacc
c91,vhigh,vhigh,5more,4,small,low,unacc
c92,vhigh,vhigh,5more,4,small,med,unacc
c93,vhigh,vhigh,5more,4,small,high,unacc
c94,vhigh,vhigh,5more,4,med,low,unacc
c95,vhigh,vhigh,5more,4,med,med,unacc
c96,vhigh,vhigh,5more,4,med,high,unacc
c97,vhigh,vhigh,5more,4,big,low,unacc
c98,vhigh,vhigh,5more,4,big,med,unacc
c99,vhigh,vhigh,5more,4,big,high,unacc
c100,vhigh,vhigh,5more,more,small,low,unacc
c101,vhigh,vhigh,5more,more,small,med,unacc
c102,vhigh,vhigh,5more,more,small,high,unacc
c103,vhigh,vhigh,5more,more,med,low,unacc
c104,vhigh,vhigh,5more,more,med,med,unacc
c105,vhigh,vhigh,5more,more,med,high,unacc
c106,vhigh,vhigh,5more,more,big,low,unacc
c107,vhigh,vhigh,5more,more,big,med,unacc
c108,vhigh,vhigh,5more,more,big,high,unacc
c109,vhigh,high,2,2,small,low,unacc
c110,vhigh,high,2,2,small,med,unacc
c111,vhigh,high,2,2,small,high,unacc
c112,vhigh,high,2,2,med,low,unacc
c113,vhigh,high,2,2,med,med,unacc
c114,vhigh,high,2,2,med,high,unacc
c115,vhigh,high,2,2,big,low,unacc
c116,vhigh,high,2,2,big,med,unacc
c117,vhigh,high,2,2,big,high,unacc
c118,vhigh,high,2,4,small,low,unacc
c119,vhigh,high,2,4,small,med,unacc
c120,vhigh,high,2,4,small,high,unacc
c121,vhigh,high,2,4,med,low,unacc
c122,vhigh,high,2,4,med,med,unacc
c123,vhigh,high,2,4,med,high,unacc
c124,vhigh,high,2,4,big,low,unacc
c125,vhigh,high,2,4,big,med,unacc
c126,vhigh,high,2,4,big,high,unacc
c127,vhigh,high,2,more,small,low,unacc
c128,vhigh,high,2,more,small,med,unacc
c129,vhigh,high,2,more,small,high,unacc
c130,vhigh,high,2,more,med,low,unacc
c131,vhigh,high,2,more,med,med,unacc
c132,vhigh,high,2,more,med,high,unacc
c133,vhigh,high,2,more,big,low,unacc
c134,vhigh,high,2,more,big,med,unacc
c135,vhigh,high,2,more,big,high,unacc
c136,vhigh,high,3,2,small,low,unacc
c137,vhigh,high,3,2,small,med,unacc
c138,vhigh,high,3,2,small,high,unacc
c139,vhigh,high,3,2,med,low,unacc
c140,vhigh,high,3,2,med,med,unacc
c141,vhigh,high,3,2,med,high,unacc
c142,vhigh,high,3,2,big,low,unacc
c143,vhigh,high,3,2,big,med,unacc
c144,vhigh,high,3,2,big,high,unacc
c145,vhigh,high,3,4,small,low,unacc
c146,vhigh,high,3,4,small,med,unacc
c147,vhigh,high,3,4,small,high,unacc
c148,vhigh,high,3,4,med,low,unacc
c149,vhigh,high,3,4,med,med,unacc
c150,vhigh,high,3,4,med,high,unacc
c151,vhigh,high,3,4,big,low,unacc
c152,vhigh,high,3,4,big,med,unacc
c153,vhigh,high,3,4,big,high,unacc
c154,vhigh,high,3,more,small,low,unacc
c155,vhigh,high,3,more,small,med,unacc
c156,vhigh,high,3,more,small,high,unacc
c157,vhigh,high,3,more,med,low,unacc
c158,vhigh,high,3,more,med,med,unacc
c159,vhigh,high,3,more,med,high,unacc
c160,vhigh,high,3,more,big,low,unacc
c161,vhigh,high,3,more,big,med,unacc
c162,vhigh,high,3,more,big,high,unacc
c163,vhigh,high,4,2,small,low,unacc
c164,vhigh,high,4,2,small,med,unacc
c165,vhigh,high,4,2,small,high,unacc
c166,vhigh,high,4,2,med,low,unacc
c167,vhigh,high,4,2,med,med,unacc
c168,vhigh,high,4,2,med,high,unacc
c169,vhigh,high,4,2,big,low,unacc
c170,vhigh,high,4,2,big,med,unacc
c171,vhigh,high,4,2,big,high,unacc
c172,vhigh,high,4,4,small,low,unacc
c173,vhigh,high,4,4,small,med,unacc
c174,vhigh,high,4,4,small,high,unacc
c175,vhigh,high,4,4,med,low,unacc
c176,vhigh,high,4,4,med,med,unacc
c177,vhigh,high,4,4,med,high,unacc
c178,vhigh,high,4,4,big,low,unacc
c179,vhigh,high,4,4,big,med,unacc
c180,vhigh,high,4,4,big,high,unacc
c181,vhigh,high,4,more,small,low,unacc
c182,vhigh,high,4,more,small,med,unacc
c183,vhigh,high,4,more,small,high,unacc
c184,vhigh,high,4,more,med,low,unacc
c185,vhigh,high,4,more,med,med,unacc
c186,vhigh,high,4,more,med,high,unacc
c187,vhigh,high,4,more,big,low,unacc
c188,vhigh,high,4,more,big,med,unacc
c189,vhigh,high,4,more,big,high,unacc
c190,vhigh,high,5more,2,small,low,unacc
c191,vhigh,high,5more,2,small,med,unacc
c192,vhigh,high,5more,2,small,high,unacc
c193,vhigh,high,5more,2,med,low,unacc
c194,vhigh,high,5more,2,med,med,unacc
c195,vhigh,high,5more,2,med,high,unacc
c196,vhigh,high,5more,2,big,low,unacc
c197,vhigh,high,5more,2,big,med,unacc
c198,vhigh,high,5more,2,big,high,unacc
c199,vhigh,high,5more,4,small,low,unacc
c200,vhigh,high,5more,4,small,med,unacc
c201,vhigh,high,5more,4,small,high,unacc
c202,vhigh,high,5more,4,med,low,unacc
c203,vhigh,high,5more,4,med,med,unacc
c204,vhigh,high,5more,4,med,high,unacc
c205,vhigh,high,5more,4,big,low,unacc
c206,vhigh,high,5more,4,big,med,unacc
c207,vhigh,high,5more,4,big,high,unacc
c208,vhigh,high,5more,more,small,low,unacc
c209,vhigh,high,5more,more,small,med,unacc
c210,vhigh,high,5more,more,small,high,unacc
c211,vhigh,high,5more,more,med,low,unacc
c212,vhigh,high,5more,more,med,med,unacc
c213,vhigh,high,5more,more,med,high,unacc
c214,vhigh,high,5more,more,big,low,unacc
c215,vhigh,high,5more,more,big,med,unacc
c216,vhigh,high,5more,more,big,high,unacc
c217,vhigh,med,2,2,small,low,unacc
c218,vhigh,med,2,2,small,med,unacc
c219,vhigh,med,2,2,small,high,unacc
c220,vhigh,med,2,2,med,low,unacc
c221,vhigh,med,2,2,med,med,unacc
c222,vhigh,med,2,2,med,high,unacc
c223,vhigh,med,2,2,big,low,unacc
c224,vhigh,med,2,2,big,med,unacc
c225,vhigh,med,2,2,big,high,unacc
c226,vhigh,med,2,4,small,low,unacc
c227,vhigh,med,2,4,small,med,unacc
c228,vhigh,med,2,4,small,high,acc
c229,vhigh,med,2,4,med,low,unacc
c230,vhigh,med,2,4,med,med,unacc
c231,vhigh,med,2,4,med,high,acc
c232,vhigh,med,2,4,big,low,unacc
c233,vhigh,med,2,4,big,med,acc
c234,vhigh,med,2,4,big,high,acc
c235,vhigh,med,2,more,small,low,unacc
c236,vhigh,med,2,more,small,med,unacc
c237,vhigh,med,2,more,small,high,unacc
c238,vhigh,med,2,more,med,low,unacc
c239,vhigh,med,2,more,med,med,unacc
c240,vhigh,med,2,more,med,high,acc
c241,vhigh,med,2,more,big,low,unacc
c242,vhigh,med,2,more,big,med,acc
c243,vhigh,med,2,more,big,high,acc
c244,vhigh,med,3,2,small,low,unacc
c245,vhigh,med,3,2,small,med,unacc
c246,vhigh,med,3,2,small,high,unacc
c247,vhigh,med,3,2,med,low,unacc
c248,vhigh,med,3,2,med,med,unacc
c249,vhigh,med,3,2,med,high,unacc
c250,vhigh,med,3,2,big,low,unacc
c251,vhigh,med,3,2,big,med,unacc
c252,vhigh,med,3,2,big,high,unacc
c253,vhigh,med,3,4,small,low,unacc
c254,vhigh,med,3,4,small,med,unacc
c255,vhigh,med,3,4,small,high,acc
c256,vhigh,med,3,4,med,low,unacc
c257,vhigh,med,3,4,med,med,unacc
c258,vhigh,med,3,4,med,high,acc
c259,vhigh,med,3,4,big,low,unacc
c260,vhigh,med,3,4,big,med,acc
c261,vhigh,med,3,4,big,high,acc
c262,vhigh,med,3,more,small,low,unacc
c263,vhigh,med,3,more,small,med,unacc
c264,vhigh,med,3,more,small,high,acc
c265,vhigh,med,3,more,med,low,unacc
c266,vhigh,med,3,more,med,med,acc
c267,vhigh,med,3,more,med,high,acc
c268,vhigh,med,3,more,big,low,unacc
c269,vhigh,med,3,more,big,med,acc
c270,vhigh,med,3,more,big,high,acc
c271,vhigh,med,4,2,small,low,unacc
c272,vhigh,med,4,2,small,med,unacc
c273,vhigh,med,4,2,small,high,unacc
c274,vhigh,med,4,2,med,low,unacc
c275,vhigh,med,4,2,med,med,unacc
c276,vhigh,med,4,2,med,high,unacc
c277,vhigh,med,4,2,big,low,unacc
c278,vhigh,med,4,2,big,med,unacc
c279,vhigh,med,4,2,big,high,unacc
c280,vhigh,med,4,4,small,low,unacc
c281,vhigh,med,4,4,small,med,unacc
c282,vhigh,med,4,4,small,high,acc
c283,vhigh,med,4,4,med,low,unacc
c284,vhigh,med,4,4,med,med,acc
c285,vhigh,med,4,4,med,high,acc
c286,vhigh,med,4,4,big,low,unacc
c287,vhigh,med,4,4,big,med,acc
c288,vhigh,med,4,4,big,high,acc
c289,vhigh,med,4,more,small,low,unacc
c290,vhigh,med,4,more,small,med,unacc
c291,vhigh,med,4,more,small,high,acc
c292,vhigh,med,4,more,med,low,unacc
c293,vhigh,med,4,more,med,med,acc
c294,vhigh,med,4,more,med,high,acc
c295,vhigh,med,4,more,big,low,unacc
c296,vhigh,med,4,more,big,med,acc
c297,vhigh,med,4,more,big,high,acc
c298,vhigh,med,5more,2,small,low,unacc
c299,vhigh,med,5more,2,small,med,unacc
c300,vhigh,med,5more,2,small,high,unacc
c301,vhigh,med,5more,2,med,low,unacc
c302,vhigh,med,5more,2,med,med,unacc
c303,vhigh,med,5more,2,med,high,unacc
c304,vhigh,med,5more,2,big,low,unacc
c305,vhigh,med,5more,2,big,med,unacc
c306,vhigh,med,5more,2,big,high,unacc
c307,vhigh,med,5more,4,small,low,unacc
c308,vhigh,med,5more,4,small,med,unacc
c309,vhigh,med,5more,4,small,high,acc
c310,vhigh,med,5more,4,med,low,unacc
c311,vhigh,med,5more,4,med,med,acc
c312,vhigh,med,5more,4,med,high,acc
c313,vhigh,med,5more,4,big,low,unacc
c314,vhigh,med,5more,4,big,med,acc
c315,vhigh,med,5more,4,big,high,acc
c316,vhigh,med,5more,more,small,low,unacc
c317,vhigh,med,5more,more,small,med,unacc
c318,vhigh,med,5more,more,small,high,acc
c319,vhigh,med,5more,more,med,low,unacc
c320,vhigh,med,5more,more,med,med,acc
c321,vhigh,med,5more,more,med,high,acc
c322,vhigh,med,5more,more,big,low,unacc
c323,vhigh,med,5more,more,big,med,acc
c324,vhigh,med,5more,more,big,high,acc
c325,vhigh,low,2,2,small,low,unacc
c326,vhigh,low,2,2,small,med,unacc
c327,vhigh,low,2,2,small,high,unacc
c328,vhigh,low,2,2,med,low,unacc
c329,vhigh,low,2,2,med,med,unacc
c330,vhigh,low,2,2,med,high,unacc
c331,vhigh,low,2,2,big,low,unacc
c332,vhigh,low,2,2,big,med,unacc
c333,vhigh,low,2,2,big,high,unacc
c334,vhigh,low,2,4,small,low,unacc
c335,vhigh,low,2,4,small,med,unacc
c336,vhigh,low,2,4,small,high,acc
c337,vhigh,low,2,4,med,low,unacc
c338,vhigh,low,2,4,med,med,unacc
c339,vhigh,low,2,4,med,high,acc
c340,vhigh,low,2,4,big,low,unacc
c341,vhigh,low,2,4,big,med,acc
c342,vhigh,low,2,4,big,high,acc
c343,vhigh,low,2,more,small,low,unacc
c344,vhigh,low,2,more,small,med,unacc
c345,vhigh,low,2,more,small,high,unacc
c346,vhigh,low,2,more,med,low,unacc
c347,vhigh,low,2,more,med,med,unacc
c348,vhigh,low,2,more,med,high,acc
c349,vhigh,low,2,more,big,low,unacc
c350,vhigh,low,2,more,big,med,acc
c351,vhigh,low,2,more,big,high,acc
c352,vhigh,low,3,2,small,low,unacc
c353,vhigh,low,3,2,small,med,unacc
c354,vhigh,low,3,2,small,high,unacc
c355,vhigh,low,3,2,med,low,unacc
c356,vhigh,low,3,2,med,med,unacc
c357,vhigh,low,3,2,med,high,unacc
c358,vhigh,low,3,2,big,low,unacc
c359,vhigh,low,3,2,big,med,unacc
c360,vhigh,low,3,2,big,high,unacc
c361,vhigh,low,3,4,small,low,unacc
c362,vhigh,low,3,4,small,med,unacc
c363,vhigh,low,3,4,small,high,acc
c364,vhigh,low,3,4,med,low,unacc
c365,vhigh,low,3,4,med,med,unacc
c366,vhigh,low,3,4,med,high,acc
c367,vhigh,low,3,4,big,low,unacc
c368,vhigh,low,3,4,big,med,acc
c369,vhigh,low,3,4,big,high,acc
c370,vhigh,low,3,more,small,low,unacc
c371,vhigh,low,3,more,small,med,unacc
c372,vhigh,low,3,more,small,high,acc
c373,vhigh,low,3,more,med,low,unacc
c374,vhigh,low,3,more,med,med,acc
c375,vhigh,low,3,more,med,high,acc
c376,vhigh,low,3,more,big,low,unacc
c377,vhigh,low,3,more,big,med,acc
c378,vhigh,low,3,more,big,high,acc
c379,vhigh,low,4,2,small,low,unacc
c380,vhigh,low,4,2,small,med,unacc
c381,vhigh,low,4,2,small,high,unacc
c382,vhigh,low,4,2,med,low,unacc
c383,vhigh,low,4,2,med,med,unacc
c384,vhigh,low,4,2,med,high,unacc
c385,vhigh,low,4,2,big,low,unacc
c386,vhigh,low,4,2,big,med,unacc
c387,vhigh,low,4,2,big,high,unacc
c388,vhigh,low,4,4,small,low,unacc
c389,vhigh,low,4,4,small,med,unacc
c390,vhigh,low,4,4,small,high,acc
c391,vhigh,low,4,4,med,low,unacc
c392,vhigh,low,4,4,med,med,acc
c393,vhigh,low,4,4,med,high,acc
c394,vhigh,low,4,4,big,low,unacc
c395,vhigh,low,4,4,big,med,acc
c396,vhigh,low,4,4,big,high,acc
c397,vhigh,low,4,more,small,low,unacc
c398,vhigh,low,4,more,small,med,unacc
c399,vhigh,low,4,more,small,high,acc
c400,vhigh,low,4,more,med,low,unacc
c401,vhigh,low,4,more,med,med,acc
c402,vhigh,low,4,more,med,high,acc
c403,vhigh,low,4,more,big,low,unacc
c404,vhigh,low,4,more,big,med,acc
c405,vhigh,low,4,more,big,high,acc
c406,vhigh,low,5more,2,small,low,unacc
c407,vhigh,low,5more,2,small,med,unacc
c408,vhigh,low,5more,2,small,high,unacc
c409,vhigh,low,5more,2,med,low,unacc
c410,vhigh,low,5more,2,med,med,unacc
c411,vhigh,low,5more,2,med,high,unacc
c412,vhigh,low,5more,2,big,low,unacc
c413,vhigh,low,5more,2,big,med,unacc
c414,vhigh,low,5more,2,big,high,unacc
c415,vhigh,low,5more,4,small,low,unacc
c416,vhigh,low,5more,4,small,med,unacc
c417,vhigh,low,5more,4,small,high,acc
c418,vhigh,low,5more,4,med,low,unacc
c419,vhigh,low,5more,4,med,med,acc
c420,vhigh,low,5more,4,med,high,acc
c421,vhigh,low,5more,4,big,low,unacc
c422,vhigh,low,5more,4,big,med,acc
c423,vhigh,low,5more,4,big,high,acc
c424,vhigh,low,5more,more,small,low,unacc
c425,vhigh,low,5more,more,small,med,unacc
c426,vhigh,low,5more,more,small,high,acc
c427,vhigh,low,5more,more,med,low,unacc
c428,vhigh,low,5more,more,med,med,acc
c429,vhigh,low,5more,more,med,high,acc
c430,vhigh,low,5more,more,big,low,unacc
c431,vhigh,low,5more,more,big,med,acc
c432,vhigh,low,5more,more,big,high,acc
c433,high,vhigh,2,2,small,low,unacc
c434,high,vhigh,2,2,small,med,unacc
c435,high,vhigh,2,2,small,high,unacc
c436,high,vhigh,2,2,med,low,unacc
c437,high,vhigh,2,2,med,med,unacc
c438,high,vhigh,2,2,med,high,unacc
c439,high,vhigh,2,2,big,low,unacc
c440,high,vhigh,2,2,big,med,unacc
c441,high,vhigh,2,2,big,high,unacc
c442,high,vhigh,2,4,small,low,unacc
c443,high,vhigh,2,4,small,med,unacc
c444,high,vhigh,2,4,small,high,unacc
c445,high,vhigh,2,4,med,low,unacc
c446,high,vhigh,2,4,med,med,unacc
c447,high,vhigh,2,4,med,high,unacc
c448,high,vhigh,2,4,big,low,unacc
c449,high,vhigh,2,4,big,med,unacc
c450,high,vhigh,2,4,big,high,unacc
c451,high,vhigh,2,more,small,low,unacc
c452,high,vhigh,2,more,small,med,unacc
c453,high,vhigh,2,more,small,high,unacc
c454,high,vhigh,2,more,med,low,unacc
c455,high,vhigh,2,more,med,med,unacc
c456,high,vhigh,2,more,med,high,unacc
c457,high,vhigh,2,more,big,low,unacc
c458,high,vhigh,2,more,big,med,unacc
c459,high,vhigh,2,more,big,high,unacc
c460,high,vhigh,3,2,small,low,unacc
c461,high,vhigh,3,2,small,med,unacc
c462,high,vhigh,3,2,small,high,unacc
c463,high,vhigh,3,2,med,low,unacc
c464,high,vhigh,3,2,med,med,unacc
c465,high,vhigh,3,2,med,high,unacc
c466,high,vhigh,3,2,big,low,unacc
c467,high,vhigh,3,2,big,med,unacc
c468,high,vhigh,3,2,big,high,unacc
c469,high,vhigh,3,4,small,low,unacc
c470,high,vhigh,3,4,small,med,unacc
c471,high,vhigh,3,4,small,high,unacc
c472,high,vhigh,3,4,med,low,unacc
c473,high,vhigh,3,4,med,med,unacc
c474,high,vhigh,3,4,med,high,unacc
c475,high,vhigh,3,4,big,low,unacc
c476,high,vhigh,3,4,big,med,unacc
c477,high,vhigh,3,4,big,high,unacc
c478,high,vhigh,3,more,small,low,unacc
c479,high,vhigh,3,more,small,med,unacc
c480,high,vhigh,3,more,small,high,unacc
c481,high,vhigh,3,more,med,low,unacc
c482,high,vhigh,3,more,med,med,unacc
c483,high,vhigh,3,more,med,high,unacc
c484,high,vhigh,3,more,big,low,unacc
c485,high,vhigh,3,more,big,med,unacc
c486,high,vhigh,3,more,big,high,unacc
c487,high,vhigh,4,2,small,low,unacc
c488,high,vhigh,4,2,small,med,unacc
c489,high,vhigh,4,2,small,high,unacc
c490,high,vhigh,4,2,med,low,unacc
c491,high,vhigh,4,2,med,med,unacc
c492,high,vhigh,4,2,med,high,unacc
c493,high,vhigh,4,2,big,low,unacc
c494,high,vhigh,4,2,big,med,unacc
c495,high,vhigh,4,2,big,high,unacc
c496,high,vhigh,4,4,small,low,unacc
c497,high,vhigh,4,4,small,med,unacc
c498,high,vhigh,4,4,small,high,unacc
c499,high,vhigh,4,4,med,low,unacc
c500,high,vhigh,4,4,med,med,unacc
c501,high,vhigh,4,4,med,high,unacc
c502,high,vhigh,4,4,big,low,unacc
c503,high,vhigh,4,4,big,med,unacc
c504,high,vhigh,4,4,big,high,unacc
c505,high,vhigh,4,more,small,low,unacc
c506,high,vhigh,4,more,small,med,unacc
c507,high,vhigh,4,more,small,high,unacc
c508,high,vhigh,4,more,med,low,unacc
c509,high,vhigh,4,more,med,med,unacc
c510,high,vhigh,4,more,med,high,unacc
c511,high,vhigh,4,more,big,low,unacc
c512,high,vhigh,4,more,big,med,unacc
c513,high,vhigh,4,more,big,high,unacc
c514,high,vhigh,5more,2,small,low,unacc
c515,high,vhigh,5more,2,small,med,unacc
c516,high,vhigh,5more,2,small,high,unacc
c517,high,vhigh,5more,2,med,low,unacc
c518,high,vhigh,5more,2,med,med,unacc
c519,high,vhigh,5more,2,med,high,unacc
c520,high,vhigh,5more,2,big,low,unacc
c521,high,vhigh,5more,2,big,med,unacc
c522,high,vhigh,5more,2,big,high,unacc
c523,high,vhigh,5more,4,small,low,unacc
c524,high,vhigh,5more,4,small,med,unacc
c525,high,vhigh,5more,4,small,high,unacc
c526,high,vhigh,5more,4,med,low,unacc
c527,high,vhigh,5more,4,med,med,unacc
c528,high,vhigh,5more,4,med,high,unacc
c529,high,vhigh,5more,4,big,low,unacc
c530,high,vhigh,5more,4,big,med,unacc
c531,high,vhigh,5more,4,big,high,unacc
c532,high,vhigh,5more,more,small,low,unacc
c533,high,vhigh,5more,more,small,med,unacc
c534,high,vhigh,5more,more,small,high,unacc
c535,high,vhigh,5more,more,med,low,unacc
c536,high,vhigh,5more,more,med,med,unacc
c537,high,vhigh,5more,more,med,high,unacc
c538,high,vhigh,5more,more,big,low,unacc
c539,high,vhigh,5more,more,big,med,unacc
c540,high,vhigh,5more,more,big,high,unacc
c541,high,high,2,2,small,low,unacc
c542,high,high,2,2,small,med,unacc
c543,high,high,2,2,small,high,unacc
c544,high,high,2,2,med,low,unacc
c545,high,high,2,2,med,med,unacc
c546,high,high,2,2,med,high,unacc
c547,high,high,2,2,big,low,unacc
c548,high,high,2,2,big,med,unacc
c549,high,high,2,2,big,high,unacc
c550,high,high,2,4,small,low,unacc
c551,high,high,2,4,small,med,unacc
c552,high,high,2,4,small,high,acc
c553,high,high,2,4,med,low,unacc
c554,high,high,2,4,med,med,unacc
c555,high,high,2,4,med,high,acc
c556,high,high,2,4,big,low,unacc
c557,high,high,2,4,big,med,acc
c558,high,high,2,4,big,high,acc
c559,high,high,2,more,small,low,unacc
c560,high,high,2,more,small,med,unacc
c561,high,high,2,more,small,high,unacc
